"","Pos","Driver","Nationality","Car","Pts","year"
"410",19,"Jacky
                    Ickx
                    ICK","BEL","Cooper Maserati","1",1967
"411",1,"Graham
                    Hill
                    HIL","GBR","Lotus Ford","48",1968
"412",2,"Jackie
                    Stewart
                    STE","GBR","Matra Ford","36",1968
"413",3,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","33",1968
"414",4,"Jacky
                    Ickx
                    ICK","BEL","Ferrari","27",1968
"415",5,"Bruce
                    McLaren
                    MCL","NZL","McLaren Ford","22",1968
"416",6,"Pedro
                    Rodriguez
                    ROD","MEX","BRM","18",1968
"417",7,"Jo
                    Siffert
                    SIF","SUI","Lotus Ford","12",1968
"418",7,"John
                    Surtees
                    SUR","GBR","Honda","12",1968
"419",9,"Jean-Pierre
                    Beltoise
                    BEL","FRA","Matra","11",1968
"420",10,"Chris
                    Amon
                    AMO","NZL","Ferrari","10",1968
"421",11,"Jim
                    Clark
                    CLA","GBR","Lotus Ford","9",1968
"422",12,"Jochen
                    Rindt
                    RIN","AUT","Brabham Repco","8",1968
"423",13,"Richard
                    Attwood
                    ATT","GBR","BRM","6",1968
"424",13,"Johnny 
                    Servoz-Gavin 
                    SER","FRA","Matra Ford","6",1968
"425",13,"Jackie
                    Oliver
                    OLI","GBR","Lotus Ford","6",1968
"426",13,"Ludovico
                    Scarfiotti
                    SCA","ITA","Cooper BRM","6",1968
"427",17,"Lucien
                    Bianchi
                    BIA","BEL","Cooper BRM","5",1968
"428",17,"Vic 
                    Elford 
                    ELF","GBR","Cooper BRM","5",1968
"429",19,"Brian  
                    Redman
                    RED","GBR","Cooper BRM","4",1968
"430",19,"Piers  
                    Courage
                    COU","GBR","BRM","4",1968
"431",21,"Dan
                    Gurney
                    GUR","USA","McLaren Ford","3",1968
"432",21,"Jo
                    Bonnier
                    BON","SWE","Honda","3",1968
"433",23,"Silvio 
                    Moser 
                    MOS","SUI","Brabham Repco","2",1968
"434",23,"Jack
                    Brabham
                    BRA","AUS","Brabham Repco","2",1968
"435",1,"Jackie
                    Stewart
                    STE","GBR","Matra Ford","63",1969
"436",2,"Jacky
                    Ickx
                    ICK","BEL","Brabham Ford","37",1969
"437",3,"Bruce
                    McLaren
                    MCL","NZL","McLaren Ford","26",1969
"438",4,"Jochen
                    Rindt
                    RIN","AUT","Lotus Ford","22",1969
"439",5,"Jean-Pierre
                    Beltoise
                    BEL","FRA","Matra Ford","21",1969
"440",6,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","20",1969
"441",7,"Graham
                    Hill
                    HIL","GBR","Lotus Ford","19",1969
"442",8,"Piers  
                    Courage
                    COU","GBR","Brabham Ford","16",1969
"443",9,"Jo
                    Siffert
                    SIF","SUI","Lotus Ford","15",1969
"444",10,"Jack
                    Brabham
                    BRA","AUS","Brabham Ford","14",1969
"445",11,"John
                    Surtees
                    SUR","GBR","BRM","6",1969
"446",12,"Chris
                    Amon
                    AMO","NZL","Ferrari","4",1969
"447",13,"Richard
                    Attwood
                    ATT","GBR","null","3",1969
"448",13,"Vic 
                    Elford 
                    ELF","GBR","McLaren Ford","3",1969
"449",13,"Pedro
                    Rodriguez
                    ROD","MEX","Ferrari","3",1969
"450",16,"Johnny 
                    Servoz-Gavin 
                    SER","FRA","Matra Ford","1",1969
"451",16,"Silvio 
                    Moser 
                    MOS","SUI","Brabham Ford","1",1969
"452",16,"Jackie
                    Oliver
                    OLI","GBR","BRM","1",1969
"453",1,"Jochen
                    Rindt
                    RIN","AUT","Lotus Ford","45",1970
"454",2,"Jacky
                    Ickx
                    ICK","BEL","Ferrari","40",1970
"455",3,"Clay
                    Regazzoni
                    REG","SUI","Ferrari","33",1970
"456",4,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","27",1970
"457",5,"Jack
                    Brabham
                    BRA","AUS","Brabham Ford","25",1970
"458",5,"Jackie
                    Stewart
                    STE","GBR","Tyrrell Ford","25",1970
"459",7,"Pedro
                    Rodriguez
                    ROD","MEX","BRM","23",1970
"460",7,"Chris
                    Amon
                    AMO","NZL","March Ford","23",1970
"461",9,"Jean-Pierre
                    Beltoise
                    BEL","FRA","Matra","16",1970
"462",10,"Emerson
                    Fittipaldi
                    FIT","BRA","Lotus Ford","12",1970
"463",11,"Rolf
                    Stommelen
                    STO","GER","Brabham Ford","10",1970
"464",12,"Henri
                    Pescarolo
                    PES","FRA","Matra","8",1970
"465",13,"Graham
                    Hill
                    HIL","GBR","Lotus Ford","7",1970
"466",14,"Bruce
                    McLaren
                    MCL","NZL","McLaren Ford","6",1970
"467",15,"Mario
                    Andretti
                    AND","USA","March Ford","4",1970
"468",15,"Reine  
                    Wisell
                    WIS","SWE","Lotus Ford","4",1970
"469",17,"Ignazio 
                    Giunti 
                    GIU","ITA","Ferrari","3",1970
"470",17,"John
                    Surtees
                    SUR","GBR","Surtees Ford","3",1970
"471",19,"John  
                    Miles
                    MIL","GBR","Lotus Ford","2",1970
"472",19,"Johnny 
                    Servoz-Gavin 
                    SER","FRA","March Ford","2",1970
"473",19,"Jackie
                    Oliver
                    OLI","GBR","BRM","2",1970
"474",22,"Dan
                    Gurney
                    GUR","USA","McLaren Ford","1",1970
"475",22,"Francois 
                    Cevert 
                    CEV","FRA","March Ford","1",1970
"476",22,"Peter 
                    Gethin 
                    GET","GBR","McLaren Ford","1",1970
"477",22,"Derek
                    Bell
                    BEL","GBR","Surtees Ford","1",1970
"478",1,"Jackie
                    Stewart
                    STE","GBR","Tyrrell Ford","62",1971
"479",2,"Ronnie
                    Peterson
                    PET","SWE","null","33",1971
"480",3,"Francois 
                    Cevert 
                    CEV","FRA","Tyrrell Ford","26",1971
"481",4,"Jacky
                    Ickx
                    ICK","BEL","Ferrari","19",1971
"482",4,"Jo
                    Siffert
                    SIF","SUI","BRM","19",1971
"483",6,"Emerson
                    Fittipaldi
                    FIT","BRA","Lotus Ford","16",1971
"484",7,"Clay
                    Regazzoni
                    REG","SUI","Ferrari","13",1971
"485",8,"Mario
                    Andretti
                    AND","USA","Ferrari","12",1971
"486",9,"Peter 
                    Gethin 
                    GET","GBR","BRM","9",1971
"487",9,"Pedro
                    Rodriguez
                    ROD","MEX","BRM","9",1971
"488",9,"Chris
                    Amon
                    AMO","NZL","Matra","9",1971
"489",9,"Reine  
                    Wisell
                    WIS","SWE","Lotus Ford","9",1971
"490",9,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","9",1971
"491",14,"Tim  
                    Schenken
                    SCH","AUS","Brabham Ford","5",1971
"492",14,"Howden 
                    Ganley 
                    GAN","NZL","BRM","5",1971
"493",16,"Mark
                    Donohue
                    DON","USA","null","4",1971
"494",16,"Henri
                    Pescarolo
                    PES","FRA","null","4",1971
"495",18,"Mike
                    Hailwood
                    HAI","GBR","Surtees Ford","3",1971
"496",18,"John
                    Surtees
                    SUR","GBR","Surtees Ford","3",1971
"497",18,"Rolf
                    Stommelen
                    STO","GER","Surtees Ford","3",1971
"498",21,"Graham
                    Hill
                    HIL","GBR","Brabham Ford","2",1971
"499",22,"Jean-Pierre
                    Beltoise
                    BEL","FRA","Matra","1",1971
"500",1,"Emerson
                    Fittipaldi
                    FIT","BRA","Lotus Ford","61",1972
"501",2,"Jackie
                    Stewart
                    STE","GBR","Tyrrell Ford","45",1972
"502",3,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","39",1972
"503",4,"Jacky
                    Ickx
                    ICK","BEL","Ferrari","27",1972
"504",5,"Peter  
                    Revson
                    REV","USA","McLaren Ford","23",1972
"505",6,"Francois 
                    Cevert 
                    CEV","FRA","Tyrrell Ford","15",1972
"506",6,"Clay
                    Regazzoni
                    REG","SUI","Ferrari","15",1972
"507",8,"Mike
                    Hailwood
                    HAI","GBR","Surtees Ford","13",1972
"508",9,"Ronnie
                    Peterson
                    PET","SWE","March Ford","12",1972
"509",9,"Chris
                    Amon
                    AMO","NZL","Matra","12",1972
"510",11,"Jean-Pierre
                    Beltoise
                    BEL","FRA","BRM","9",1972
"511",12,"Mario
                    Andretti
                    AND","USA","Ferrari","4",1972
"512",12,"Howden 
                    Ganley 
                    GAN","NZL","BRM","4",1972
"513",12,"Brian  
                    Redman
                    RED","GBR","BRM","4",1972
"514",12,"Graham
                    Hill
                    HIL","GBR","Brabham Ford","4",1972
"515",16,"Andrea
                    de Adamich 
                    DEA","ITA","Surtees Ford","3",1972
"516",16,"Carlos
                    Reutemann
                    REU","ARG","Brabham Ford","3",1972
"517",16,"Carlos
                    Pace
                    PAC","BRA","March Ford","3",1972
"518",19,"Tim  
                    Schenken
                    SCH","AUS","Surtees Ford","2",1972
"519",20,"Arturo
                    Merzario
                    MER","ITA","Ferrari","1",1972
"520",20,"Peter 
                    Gethin 
                    GET","GBR","BRM","1",1972
"521",1,"Jackie
                    Stewart
                    STE","GBR","Tyrrell Ford","71",1973
"522",2,"Emerson
                    Fittipaldi
                    FIT","BRA","Lotus Ford","55",1973
"523",3,"Ronnie
                    Peterson
                    PET","SWE","Lotus Ford","52",1973
"524",4,"Francois 
                    Cevert 
                    CEV","FRA","Tyrrell Ford","47",1973
"525",5,"Peter  
                    Revson
                    REV","USA","McLaren Ford","38",1973
"526",6,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","26",1973
"527",7,"Carlos
                    Reutemann
                    REU","ARG","Brabham Ford","16",1973
"528",8,"James
                    Hunt
                    HUN","GBR","March Ford","14",1973
"529",9,"Jacky
                    Ickx
                    ICK","BEL","Iso Marlboro Ford","12",1973
"530",10,"Jean-Pierre
                    Beltoise
                    BEL","FRA","BRM","9",1973
"531",11,"Carlos
                    Pace
                    PAC","BRA","Surtees Ford","7",1973
"532",12,"Arturo
                    Merzario
                    MER","ITA","Ferrari","6",1973
"533",13,"George 
                    Follmer 
                    FOL","USA","Shadow Ford","5",1973
"534",14,"Jackie
                    Oliver
                    OLI","GBR","Shadow Ford","4",1973
"535",15,"Andrea
                    de Adamich 
                    DEA","ITA","Brabham Ford","3",1973
"536",15,"Wilson
                    Fittipaldi
                    FIT","BRA","Brabham Ford","3",1973
"537",17,"Niki
                    Lauda
                    LAU","AUT","BRM","2",1973
"538",17,"Clay
                    Regazzoni
                    REG","SUI","BRM","2",1973
"539",19,"Chris
                    Amon
                    AMO","NZL","Tyrrell Ford","1",1973
"540",19,"Gijs
                    van Lennep
                    VAN","NED","Iso Marlboro Ford","1",1973
"541",19,"Howden 
                    Ganley 
                    GAN","NZL","Iso Marlboro Ford","1",1973
"542",1,"Emerson
                    Fittipaldi
                    FIT","BRA","McLaren Ford","55",1974
"543",2,"Clay
                    Regazzoni
                    REG","SUI","Ferrari","52",1974
"544",3,"Jody
                    Scheckter
                    SCH","RSA","Tyrrell Ford","45",1974
"545",4,"Niki
                    Lauda
                    LAU","AUT","Ferrari","38",1974
"546",5,"Ronnie
                    Peterson
                    PET","SWE","Lotus Ford","35",1974
"547",6,"Carlos
                    Reutemann
                    REU","ARG","Brabham Ford","32",1974
"548",7,"Denny
                    Hulme
                    HUL","NZL","McLaren Ford","20",1974
"549",8,"James
                    Hunt
                    HUN","GBR","Hesketh Ford","15",1974
"550",9,"Patrick
                    Depailler
                    DEP","FRA","Tyrrell Ford","14",1974
"551",10,"Jacky
                    Ickx
                    ICK","BEL","Lotus Ford","12",1974
"552",10,"Mike
                    Hailwood
                    HAI","GBR","McLaren Ford","12",1974
"553",12,"Carlos
                    Pace
                    PAC","BRA","Brabham Ford","11",1974
"554",13,"Jean-Pierre
                    Beltoise
                    BEL","FRA","BRM","10",1974
"555",14,"Jean-Pierre
                    Jarier
                    JAR","FRA","Shadow Ford","6",1974
"556",14,"John
                    Watson
                    WAT","GBR","Brabham Ford","6",1974
"557",16,"Hans-Joachim
                    Stuck
                    STU","GER","March Ford","5",1974
"558",17,"Arturo
                    Merzario
                    MER","ITA","Iso Marlboro Ford","4",1974
"559",18,"Graham
                    Hill
                    HIL","GBR","Lola Ford","1",1974
"560",18,"Tom
                    Pryce
                    PRY","GBR","Shadow Ford","1",1974
"561",18,"Vittorio
                    Brambilla
                    BRA","ITA","March Ford","1",1974
"562",1,"Niki
                    Lauda
                    LAU","AUT","Ferrari","64.5",1975
"563",2,"Emerson
                    Fittipaldi
                    FIT","BRA","McLaren Ford","45",1975
"564",3,"Carlos
                    Reutemann
                    REU","ARG","Brabham Ford","37",1975
"565",4,"James
                    Hunt
                    HUN","GBR","Hesketh Ford","33",1975
"566",5,"Clay
                    Regazzoni
                    REG","SUI","Ferrari","25",1975
"567",6,"Carlos
                    Pace
                    PAC","BRA","Brabham Ford","24",1975
"568",7,"Jody
                    Scheckter
                    SCH","RSA","Tyrrell Ford","20",1975
"569",7,"Jochen
                    Mass
                    MAS","GER","McLaren Ford","20",1975
"570",9,"Patrick
                    Depailler
                    DEP","FRA","Tyrrell Ford","12",1975
"571",10,"Tom
                    Pryce
                    PRY","GBR","Shadow Ford","8",1975
"572",11,"Vittorio
                    Brambilla
                    BRA","ITA","March Ford","6.5",1975
"573",12,"Jacques
                    Laffite
                    LAF","FRA","Frank Williams Racing Cars/Williams","6",1975
"574",12,"Ronnie
                    Peterson
                    PET","SWE","Lotus Ford","6",1975
"575",14,"Mario
                    Andretti
                    AND","USA","Parnelli Ford","5",1975
"576",15,"Mark
                    Donohue
                    DON","USA","March Ford","4",1975
"577",16,"Jacky
                    Ickx
                    ICK","BEL","Lotus Ford","3",1975
"578",17,"Alan 
                    Jones
                    JON","AUS","Hill Ford","2",1975
"579",18,"Jean-Pierre
                    Jarier
                    JAR","FRA","Shadow Ford","1.5",1975
"580",19,"Tony
                    Brise
                    BRI","GBR","Hill Ford","1",1975
"581",19,"Gijs
                    van Lennep
                    VAN","NED","Ensign Ford","1",1975
"582",21,"Lella
                    Lombardi
                    LOM","ITA","Frank Williams Racing Cars/Williams","0.5",1975
"583",1,"James
                    Hunt
                    HUN","GBR","McLaren Ford","69",1976
"584",2,"Niki
                    Lauda
                    LAU","AUT","Ferrari","68",1976
"585",3,"Jody
                    Scheckter
                    SCH","RSA","Tyrrell Ford","49",1976
"586",4,"Patrick
                    Depailler
                    DEP","FRA","Tyrrell Ford","39",1976
"587",5,"Clay
                    Regazzoni
                    REG","SUI","Ferrari","31",1976
"588",6,"Mario
                    Andretti
                    AND","USA","Lotus Ford","22",1976
"589",7,"John
                    Watson
                    WAT","GBR","Penske Ford","20",1976
"590",7,"Jacques
                    Laffite
                    LAF","FRA","Ligier Matra","20",1976
"591",9,"Jochen
                    Mass
                    MAS","GER","McLaren Ford","19",1976
"592",10,"Gunnar
                    Nilsson
                    NIL","SWE","Lotus Ford","11",1976
"593",11,"Ronnie
                    Peterson
                    PET","SWE","March Ford","10",1976
"594",11,"Tom
                    Pryce
                    PRY","GBR","Shadow Ford","10",1976
"595",13,"Hans-Joachim
                    Stuck
                    STU","GER","March Ford","8",1976
"596",14,"Carlos
                    Pace
                    PAC","BRA","Brabham Alfa Romeo","7",1976
"597",14,"Alan 
                    Jones
                    JON","AUS","Surtees Ford","7",1976
"598",16,"Carlos
                    Reutemann
                    REU","ARG","Ferrari","3",1976
"599",16,"Emerson
                    Fittipaldi
                    FIT","BRA","Fittipaldi Ford","3",1976
"600",18,"Chris
                    Amon
                    AMO","NZL","Wolf-Williams","2",1976
"601",19,"Rolf
                    Stommelen
                    STO","GER","Brabham Alfa Romeo","1",1976
"602",19,"Vittorio
                    Brambilla
                    BRA","ITA","March Ford","1",1976
"603",1,"Niki
                    Lauda
                    LAU","AUT","Ferrari","72",1977
"604",2,"Jody
                    Scheckter
                    SCH","RSA","Wolf Ford","55",1977
"605",3,"Mario
                    Andretti
                    AND","USA","Lotus Ford","47",1977
"606",4,"Carlos
                    Reutemann
                    REU","ARG","Ferrari","42",1977
"607",5,"James
                    Hunt
                    HUN","GBR","McLaren Ford","40",1977
"608",6,"Jochen
                    Mass
                    MAS","GER","McLaren Ford","25",1977
"609",7,"Alan 
                    Jones
                    JON","AUS","Shadow Ford","22",1977
"610",8,"Gunnar
                    Nilsson
                    NIL","SWE","Lotus Ford","20",1977
"611",8,"Patrick
                    Depailler
                    DEP","FRA","Tyrrell Ford","20",1977
"612",10,"Jacques
                    Laffite
                    LAF","FRA","Ligier Matra","18",1977
"613",11,"Hans-Joachim
                    Stuck
                    STU","GER","Brabham Alfa Romeo","12",1977
"614",12,"Emerson
                    Fittipaldi
                    FIT","BRA","Fittipaldi Ford","11",1977
"615",13,"John
                    Watson
                    WAT","GBR","Brabham Alfa Romeo","9",1977
"616",14,"Ronnie
                    Peterson
                    PET","SWE","Tyrrell Ford","7",1977
"617",15,"Carlos
                    Pace
                    PAC","BRA","Brabham Alfa Romeo","6",1977
"618",15,"Vittorio
                    Brambilla
                    BRA","ITA","Surtees Ford","6",1977
"619",17,"Patrick
                    Tambay
                    TAM","FRA","Ensign Ford","5",1977
"620",17,"Clay
                    Regazzoni
                    REG","SUI","Ensign Ford","5",1977
"621",19,"Renzo
                    Zorzi
                    ZOR","ITA","Shadow Ford","1",1977
"622",19,"Jean-Pierre
                    Jarier
                    JAR","FRA","Ligier Matra","1",1977
"623",19,"Riccardo
                    Patrese
                    PAT","ITA","Shadow Ford","1",1977
"624",1,"Mario
                    Andretti
                    AND","USA","Lotus Ford","64",1978
"625",2,"Ronnie
                    Peterson
                    PET","SWE","Lotus Ford","51",1978
"626",3,"Carlos
                    Reutemann
                    REU","ARG","Ferrari","48",1978
"627",4,"Niki
                    Lauda
                    LAU","AUT","Brabham Alfa Romeo","44",1978
"628",5,"Patrick
                    Depailler
                    DEP","FRA","Tyrrell Ford","34",1978
"629",6,"John
                    Watson
                    WAT","GBR","Brabham Alfa Romeo","25",1978
"630",7,"Jody
                    Scheckter
                    SCH","RSA","Wolf Ford","24",1978
"631",8,"Jacques
                    Laffite
                    LAF","FRA","Ligier Matra","19",1978
"632",9,"Gilles
                    Villeneuve
                    VIL","CAN","Ferrari","17",1978
"633",9,"Emerson
                    Fittipaldi
                    FIT","BRA","Fittipaldi Ford","17",1978
"634",11,"Alan 
                    Jones
                    JON","AUS","Williams Ford","11",1978
"635",11,"Riccardo
                    Patrese
                    PAT","ITA","Arrows Ford","11",1978
"636",13,"James
                    Hunt
                    HUN","GBR","McLaren Ford","8",1978
"637",13,"Patrick
                    Tambay
                    TAM","FRA","McLaren Ford","8",1978
"638",15,"Didier
                    Pironi
                    PIR","FRA","Tyrrell Ford","7",1978
"639",16,"Clay
                    Regazzoni
                    REG","SUI","Shadow Ford","4",1978
"640",17,"Jean-Pierre
                    Jabouille
                    JAB","FRA","Renault","3",1978
"641",18,"Hans-Joachim
                    Stuck
                    STU","GER","Shadow Ford","2",1978
"642",19,"Hector
                    Rebaque
                    REB","MEX","Lotus Ford","1",1978
"643",19,"Vittorio
                    Brambilla
                    BRA","ITA","Surtees Ford","1",1978
"644",19,"Derek
                    Daly
                    DAL","IRL","Ensign Ford","1",1978
"645",1,"Jody
                    Scheckter
                    SCH","RSA","Ferrari","51",1979
"646",2,"Gilles
                    Villeneuve
                    VIL","CAN","Ferrari","47",1979
"647",3,"Alan 
                    Jones
                    JON","AUS","Williams Ford","40",1979
"648",4,"Jacques
                    Laffite
                    LAF","FRA","Ligier Ford","36",1979
"649",5,"Clay
                    Regazzoni
                    REG","SUI","Williams Ford","29",1979
"650",6,"Patrick
                    Depailler
                    DEP","FRA","Ligier Ford","20",1979
"651",6,"Carlos
                    Reutemann
                    REU","ARG","Lotus Ford","20",1979
"652",8,"Rene
                    Arnoux
                    ARN","FRA","Renault","17",1979
"653",9,"John
                    Watson
                    WAT","GBR","McLaren Ford","15",1979
"654",10,"Didier
                    Pironi
                    PIR","FRA","Tyrrell Ford","14",1979
"655",10,"Jean-Pierre
                    Jarier
                    JAR","FRA","Tyrrell Ford","14",1979
"656",10,"Mario
                    Andretti
                    AND","USA","Lotus Ford","14",1979
"657",13,"Jean-Pierre
                    Jabouille
                    JAB","FRA","Renault","9",1979
"658",14,"Niki
                    Lauda
                    LAU","AUT","Brabham Ford","4",1979
"659",15,"Nelson
                    Piquet
                    PIQ","BRA","Brabham Ford","3",1979
"660",15,"Elio
                    de Angelis
                    DEA","ITA","Shadow Ford","3",1979
"661",15,"Jacky
                    Ickx
                    ICK","BEL","Ligier Ford","3",1979
"662",15,"Jochen
                    Mass
                    MAS","GER","Arrows Ford","3",1979
"663",19,"Riccardo
                    Patrese
                    PAT","ITA","Arrows Ford","2",1979
"664",19,"Hans-Joachim
                    Stuck
                    STU","GER","ATS Ford","2",1979
"665",21,"Emerson
                    Fittipaldi
                    FIT","BRA","Fittipaldi Ford","1",1979
"666",1,"Alan 
                    Jones
                    JON","AUS","Williams Ford","67",1980
"667",2,"Nelson
                    Piquet
                    PIQ","BRA","Brabham Ford","54",1980
"668",3,"Carlos
                    Reutemann
                    REU","ARG","Williams Ford","42",1980
"669",4,"Jacques
                    Laffite
                    LAF","FRA","Ligier Ford","34",1980
"670",5,"Didier
                    Pironi
                    PIR","FRA","Ligier Ford","32",1980
"671",6,"Rene
                    Arnoux
                    ARN","FRA","Renault","29",1980
"672",7,"Elio
                    de Angelis
                    DEA","ITA","Lotus Ford","13",1980
"673",8,"Jean-Pierre
                    Jabouille
                    JAB","FRA","Renault","9",1980
"674",9,"Riccardo
                    Patrese
                    PAT","ITA","Arrows Ford","7",1980
"675",10,"Keke
                    Rosberg
                    ROS","FIN","Fittipaldi Ford","6",1980
"676",10,"Derek
                    Daly
                    DAL","IRL","Tyrrell Ford","6",1980
"677",10,"John
                    Watson
                    WAT","GBR","McLaren Ford","6",1980
"678",10,"Jean-Pierre
                    Jarier
                    JAR","FRA","Tyrrell Ford","6",1980
"679",10,"Gilles
                    Villeneuve
                    VIL","CAN","Ferrari","6",1980
"680",15,"Emerson
                    Fittipaldi
                    FIT","BRA","Fittipaldi Ford","5",1980
"681",15,"Alain
                    Prost
                    PRO","FRA","McLaren Ford","5",1980
"682",17,"Jochen
                    Mass
                    MAS","GER","Arrows Ford","4",1980
"683",17,"Bruno
                    Giacomelli
                    GIA","ITA","Alfa Romeo","4",1980
"684",19,"Jody
                    Scheckter
                    SCH","RSA","Ferrari","2",1980
"685",20,"Hector
                    Rebaque
                    REB","MEX","Brabham Ford","1",1980
"686",20,"Mario
                    Andretti
                    AND","USA","Lotus Ford","1",1980
"687",1,"Nelson
                    Piquet
                    PIQ","BRA","Brabham Ford","50",1981
"688",2,"Carlos
                    Reutemann
                    REU","ARG","Williams Ford","49",1981
"689",3,"Alan 
                    Jones
                    JON","AUS","Williams Ford","46",1981
"690",4,"Jacques
                    Laffite
                    LAF","FRA","Ligier Matra","44",1981
"691",5,"Alain
                    Prost
                    PRO","FRA","Renault","43",1981
"692",6,"John
                    Watson
                    WAT","GBR","McLaren Ford","27",1981
"693",7,"Gilles
                    Villeneuve
                    VIL","CAN","Ferrari","25",1981
"694",8,"Elio
                    de Angelis
                    DEA","ITA","Lotus Ford","14",1981
"695",9,"Rene
                    Arnoux
                    ARN","FRA","Renault","11",1981
"696",9,"Hector
                    Rebaque
                    REB","MEX","Brabham Ford","11",1981
"697",11,"Riccardo
                    Patrese
                    PAT","ITA","Arrows Ford","10",1981
"698",11,"Eddie 
                    Cheever
                    CHE","USA","Tyrrell Ford","10",1981
"699",13,"Didier
                    Pironi
                    PIR","FRA","Ferrari","9",1981
"700",14,"Nigel
                    Mansell
                    MAN","GBR","Lotus Ford","8",1981
"701",15,"Bruno
                    Giacomelli
                    GIA","ITA","Alfa Romeo","7",1981
"702",16,"Marc
                    Surer
                    SUR","SUI","Theodore Ford","4",1981
"703",17,"Mario
                    Andretti
                    AND","USA","Alfa Romeo","3",1981
"704",18,"Patrick
                    Tambay
                    TAM","FRA","Ligier Matra","1",1981
"705",18,"Andrea
                    de Cesaris
                    DEC","ITA","McLaren Ford","1",1981
"706",18,"Slim
                    Borgudd
                    BOR","SWE","ATS Ford","1",1981
"707",18,"Eliseo
                    Salazar
                    SAL","CHI","Ensign Ford","1",1981
"708",1,"Keke
                    Rosberg
                    ROS","FIN","Williams Ford","44",1982
"709",2,"Didier
                    Pironi
                    PIR","FRA","Ferrari","39",1982
"710",2,"John
                    Watson
                    WAT","GBR","McLaren Ford","39",1982
"711",4,"Alain
                    Prost
                    PRO","FRA","Renault","34",1982
"712",5,"Niki
                    Lauda
                    LAU","AUT","McLaren Ford","30",1982
"713",6,"Rene
                    Arnoux
                    ARN","FRA","Renault","28",1982
"714",7,"Patrick
                    Tambay
                    TAM","FRA","Ferrari","25",1982
"715",7,"Michele
                    Alboreto
                    ALB","ITA","Tyrrell Ford","25",1982
"716",9,"Elio
                    de Angelis
                    DEA","ITA","Lotus Ford","23",1982
"717",10,"Riccardo
                    Patrese
                    PAT","ITA","Brabham BMW","21",1982
"718",11,"Nelson
                    Piquet
                    PIQ","BRA","Brabham BMW","20",1982
"719",12,"Eddie 
                    Cheever
                    CHE","USA","Ligier Matra","15",1982
"720",13,"Derek
                    Daly
                    DAL","IRL","Williams Ford","8",1982
"721",14,"Nigel
                    Mansell
                    MAN","GBR","Lotus Ford","7",1982
"722",15,"Carlos
                    Reutemann
                    REU","ARG","Williams Ford","6",1982
"723",15,"Gilles
                    Villeneuve
                    VIL","CAN","Ferrari","6",1982
"724",17,"Andrea
                    de Cesaris
                    DEC","ITA","Alfa Romeo","5",1982
"725",17,"Jacques
                    Laffite
                    LAF","FRA","Ligier Matra","5",1982
"726",19,"Mario
                    Andretti
                    AND","USA","Ferrari","4",1982
"727",20,"Jean-Pierre
                    Jarier
                    JAR","FRA","Osella Ford","3",1982
"728",20,"Marc
                    Surer
                    SUR","SUI","Arrows Ford","3",1982
"729",22,"Manfred
                    Winkelhock
                    WIN","GER","ATS Ford","2",1982
"730",22,"Eliseo
                    Salazar
                    SAL","CHI","ATS Ford","2",1982
"731",22,"Bruno
                    Giacomelli
                    GIA","ITA","Alfa Romeo","2",1982
"732",22,"Mauro
                    Baldi
                    BAL","ITA","Arrows Ford","2",1982
"733",26,"Chico
                    Serra
                    SER","BRA","Fittipaldi Ford","1",1982
"734",1,"Nelson
                    Piquet
                    PIQ","BRA","Brabham BMW","59",1983
"735",2,"Alain
                    Prost
                    PRO","FRA","Renault","57",1983
"736",3,"Rene
                    Arnoux
                    ARN","FRA","Ferrari","49",1983
"737",4,"Patrick
                    Tambay
                    TAM","FRA","Ferrari","40",1983
"738",5,"Keke
                    Rosberg
                    ROS","FIN","Williams Honda","27",1983
"739",6,"John
                    Watson
                    WAT","GBR","McLaren Ford","22",1983
"740",7,"Eddie 
                    Cheever
                    CHE","USA","Renault","22",1983
"741",8,"Andrea
                    de Cesaris
                    DEC","ITA","Alfa Romeo","15",1983
"742",9,"Riccardo
                    Patrese
                    PAT","ITA","Brabham BMW","13",1983
"743",10,"Niki
                    Lauda
                    LAU","AUT","McLaren TAG","12",1983
"744",11,"Jacques
                    Laffite
                    LAF","FRA","Williams Honda","11",1983
"745",12,"Michele
                    Alboreto
                    ALB","ITA","Tyrrell Ford","10",1983
"746",13,"Nigel
                    Mansell
                    MAN","GBR","Lotus Renault","10",1983
"747",14,"Derek
                    Warwick
                    WAR","GBR","Toleman Hart","9",1983
"748",15,"Marc
                    Surer
                    SUR","SUI","Arrows Ford","4",1983
"749",16,"Mauro
                    Baldi
                    BAL","ITA","Alfa Romeo","3",1983
"750",17,"Elio
                    de Angelis
                    DEA","ITA","Lotus Renault","2",1983
"751",18,"Danny
                    Sullivan
                    SUL","USA","Tyrrell Ford","2",1983
"752",19,"Bruno
                    Giacomelli
                    GIA","ITA","Toleman Hart","1",1983
"753",20,"Johnny
                    Cecotto
                    CEC","VEN","Theodore Ford","1",1983
"754",1,"Niki
                    Lauda
                    LAU","AUT","McLaren TAG","72",1984
